"h,53,24,46,4,11,3,35,17,52,9,60,26,60,72,39,11,80,86,66,59,9,41,33,11,42,69,74,91,61,5,69,17,17,78,6,51,54,54,94,47,37,0,16,71,6,83,7,6,38,61,18,68,15,2,81,49,5,17,21,36,63,38,24,3,99"
"85,t,31,54,60,22,77,39,93,38,31,16,29,27,8,35,0,54,84,21,47,37,66,83,26,22,68,25,44,81,27,68,17,63,13,99,38,43,87,83,73,88,67,5,12,10,7,58,64,56,53,88,96,20,7,85,94,23,14,79,24,27,90,40,27,8"
"22,98,t,83,33,53,66,13,81,53,60,52,45,51,39,98,14,94,68,5,99,62,68,95,50,81,64,58,96,1,71,4,60,57,84,39,5,24,79,19,86,20,15,55,68,26,81,78,3,2,24,64,17,86,3,16,89,81,33,70,42,5,31,42,45,42"
"11,58,4,p,59,85,97,35,11,78,75,23,83,37,79,8,82,42,73,9,13,98,57,50,28,41,55,58,33,85,80,69,64,53,87,38,58,48,31,82,56,14,49,8,50,4,5,9,69,33,61,24,61,21,59,1,81,73,13,75,21,13,15,85,71,36"
"0,15,8,77,s,90,42,25,38,93,18,81,6,31,17,3,55,91,46,30,28,6,45,66,97,9,71,31,26,50,86,52,24,93,97,18,71,79,61,9,19,67,74,48,54,30,69,1,43,11,8,97,52,22,66,81,55,53,5,91,30,14,62,27,27,33"
"47,43,36,38,37,:,77,69,20,51,87,31,45,50,43,48,72,47,88,29,25,62,97,70,44,87,76,89,99,93,6,21,68,45,57,40,74,46,71,98,29,8,40,89,90,96,90,32,11,84,87,35,88,75,75,17,74,86,46,96,86,10,14,9,56,0"
"43,73,30,67,47,7,/,88,38,83,36,26,1,69,69,89,96,77,10,5,68,43,19,65,25,48,25,33,29,14,19,87,20,20,35,65,4,89,1,62,40,7,9,98,18,3,58,22,41,95,73,29,8,34,75,38,76,10,62,67,74,90,60,94,4,97"
"26,59,40,91,5,93,0,/,74,80,13,67,15,42,93,3,10,61,9,13,38,68,60,34,37,32,17,60,95,92,44,33,99,69,4,16,80,87,7,9,43,73,64,9,25,12,65,59,1,84,73,40,78,10,64,59,58,25,53,71,72,92,51,15,26,76"
"33,13,17,66,84,74,77,8,d,44,53,14,63,17,62,77,75,61,75,28,57,12,1,36,62,63,8,12,24,85,80,26,18,19,1,13,47,74,72,83,46,53,25,89,74,57,54,12,38,83,38,67,94,75,26,86,91,30,66,75,53,46,60,78,50,47"
"34,76,15,58,37,61,96,57,6,r,98,60,64,32,0,68,32,41,72,99,13,29,88,59,45,85,93,19,39,5,2,35,80,11,35,34,3,55,27,3,3,57,90,75,54,85,6,10,7,95,9,30,25,25,87,1,55,9,1,76,90,6,60,87,33,86"
"67,30,97,49,27,14,17,28,60,74,i,21,24,66,83,25,99,62,89,27,85,48,23,93,12,9,13,70,41,21,85,12,3,39,71,36,84,55,30,4,48,75,47,89,39,97,56,38,23,84,58,72,79,22,13,23,14,29,2,31,11,42,94,3,34,52"
"95,42,42,95,95,20,9,29,65,26,13,v,82,66,67,96,48,7,36,89,73,98,3,23,50,89,42,75,84,6,73,5,93,83,1,39,22,33,76,61,49,53,66,23,81,63,50,97,13,51,47,13,12,44,71,42,7,59,70,96,37,30,3,1,78,16"
"96,28,68,65,40,12,36,15,39,57,35,49,e,4,65,73,75,77,29,64,35,70,11,1,2,88,95,22,44,50,82,98,50,53,14,28,39,50,12,18,59,41,68,7,81,69,57,68,48,74,45,7,11,14,23,58,10,16,49,64,62,27,40,84,12,68"
"80,10,31,78,64,18,88,41,98,89,99,69,36,.,56,44,30,85,7,74,71,9,84,91,25,78,0,28,4,97,3,63,1,74,55,74,22,21,49,65,6,23,50,72,43,51,4,29,2,92,20,96,72,69,34,7,8,32,59,78,75,66,98,90,58,20"
"0,67,15,39,97,49,72,53,56,29,18,67,39,20,g,66,61,29,67,93,13,97,64,63,92,78,68,25,87,32,82,36,63,6,29,60,11,59,13,16,14,88,96,39,47,68,44,13,2,34,20,29,89,3,99,74,75,41,77,62,34,12,90,32,18,74"
"49,56,7,76,3,54,65,76,68,89,60,19,51,93,13,o,25,18,29,49,88,31,25,98,70,83,64,26,89,74,91,30,5,56,39,25,2,74,83,98,44,71,98,69,66,13,20,28,2,42,91,63,74,6,52,54,82,54,83,39,10,70,50,53,47,68"
"68,62,73,17,3,84,97,56,12,65,46,24,40,81,18,25,o,93,29,44,28,11,45,44,28,97,79,35,4,9,83,4,20,21,22,53,36,74,43,55,19,76,52,92,34,78,23,33,30,21,96,31,69,60,63,97,90,42,61,25,83,78,10,31,58,95"
"78,84,3,55,56,17,83,59,74,8,46,10,30,78,75,27,24,g,54,71,1,23,47,3,72,64,55,35,21,69,10,45,25,10,57,41,95,48,97,17,52,27,47,89,55,62,38,34,29,42,32,81,11,79,83,85,44,86,59,21,22,80,20,73,1,47"
"89,51,33,16,51,38,64,29,32,82,61,38,16,11,97,29,37,94,l,92,18,0,62,0,12,40,6,1,27,74,22,44,72,77,30,36,89,0,84,44,94,1,84,96,21,17,99,91,18,5,36,50,85,51,81,8,99,39,54,80,8,40,56,35,74,98"
"25,49,44,14,73,92,59,92,62,74,40,9,37,78,96,31,92,5,52,e,77,75,81,5,54,75,10,51,85,87,1,81,70,86,87,75,58,85,65,46,0,46,36,61,62,37,69,96,70,10,6,31,61,6,81,52,64,63,94,4,86,22,50,64,14,86"
"23,13,55,56,67,59,30,26,43,29,62,66,39,41,91,91,23,22,95,78,.,69,62,54,8,50,22,32,42,53,36,20,95,77,39,97,49,26,83,54,53,58,57,5,0,65,28,67,12,25,68,70,73,13,93,49,25,88,36,97,5,24,24,61,18,95"
"58,8,97,14,85,12,1,11,73,81,16,52,53,99,2,56,58,13,64,31,48,c,28,81,92,13,61,70,91,56,7,39,41,64,94,83,3,61,27,10,45,20,75,68,24,91,35,60,52,27,81,8,35,63,16,88,74,93,56,47,16,79,90,83,84,69"
"22,92,48,20,57,73,11,27,7,67,69,90,7,21,2,69,15,66,78,88,66,21,o,40,15,20,32,48,73,27,46,70,30,22,51,73,19,94,48,56,99,20,22,0,5,47,14,65,91,98,96,50,40,6,80,66,36,33,24,73,84,86,25,11,84,26"
"26,68,67,55,93,98,69,98,37,37,14,48,53,32,3,0,75,65,84,38,42,22,83,m,54,51,68,43,56,84,72,65,72,99,16,73,41,4,19,36,71,87,29,30,85,74,32,46,49,85,13,92,14,97,60,69,62,9,43,32,18,95,24,66,98,79"
"61,77,4,29,6,16,3,71,26,20,24,1,60,45,61,99,79,67,65,29,40,24,44,39,/,7,26,28,10,74,30,35,86,78,94,9,61,2,16,30,10,60,56,27,47,11,15,28,21,81,95,49,7,92,91,13,26,52,24,94,27,72,29,86,18,51"
"92,18,21,88,72,26,43,35,62,75,40,92,61,35,52,10,49,77,18,1,28,9,32,96,37,o,48,47,4,57,42,45,93,90,71,24,10,16,41,99,83,15,23,76,48,35,65,37,89,15,9,91,64,61,45,59,24,63,34,1,6,44,93,60,89,50"
"25,5,38,85,25,88,56,71,96,27,93,14,7,2,22,49,93,93,5,56,75,11,36,19,81,11,p,42,54,29,20,31,1,12,40,65,18,2,89,68,77,66,53,95,20,85,7,92,46,44,16,13,59,53,90,64,67,38,79,26,69,13,63,59,1,64"
"2,95,27,12,92,78,73,64,53,92,75,23,81,18,16,66,22,20,13,31,15,30,65,62,46,60,3,e,68,98,86,82,93,12,16,68,78,62,36,15,47,91,17,77,65,98,45,52,69,5,52,50,46,73,17,7,72,84,7,26,52,40,86,36,80,66"
"52,85,6,13,7,57,51,42,66,33,11,78,51,43,21,55,13,38,90,47,73,18,65,80,89,11,85,25,n,48,33,47,33,12,65,28,42,80,89,58,24,65,46,23,20,72,92,51,82,40,85,67,79,50,87,27,31,74,71,84,41,84,55,16,43,61"
"72,58,16,98,95,38,35,17,83,22,37,55,1,18,25,75,0,39,64,35,76,94,3,42,86,97,36,68,49,?,5,23,62,8,79,56,32,30,86,8,13,17,76,43,82,74,82,90,47,6,79,57,95,44,40,9,59,25,75,6,90,39,97,18,38,93"
"48,14,7,47,65,92,98,96,23,3,41,21,17,3,1,99,3,57,13,50,81,58,43,2,33,68,33,72,1,66,i,80,26,11,83,35,29,28,75,38,13,66,71,32,57,67,10,56,46,27,82,9,28,29,99,44,35,22,56,2,99,28,2,29,56,76"
"77,34,47,96,48,73,58,81,28,52,58,1,4,65,57,72,52,66,37,46,51,95,23,0,15,86,7,95,81,63,87,d,46,78,47,83,26,3,6,77,44,3,30,9,43,27,37,37,98,11,78,82,22,36,11,93,53,85,49,4,7,38,24,63,85,11"
